Codice_scuola, Perc_certificato_agibilita_abitabilita, Perc_certificato_collaudo_statico, Perc_certificato_omologazione_centrale_termi, Perc_certificato_prevenzione_incendi_cpi, Perc_nullaosta_provvisorio_prevenzione_incendi_nop, Perc_certificato_collaudo_impianto_spegnimento, Perc_documento_valutazione_rischio, Perc_piano_emergenza, Perc_Media
TOPS03201D, 100.0 ,100.0 ,100.0 ,0.0 ,100.0 ,0.0 ,100.0 ,100.0 ,75.0
BAEE17201N, 0.0 ,0.0 ,0.0 ,0.0 ,100.0 ,100.0 ,100.0 ,100.0 ,50.0
TVEE813043, 100.0 ,100.0 ,0.0 ,0.0 ,0.0 ,0.0 ,50.0 ,50.0 ,37.5
RGEE83003L, 0.0 ,100.0 ,0.0 ,100.0 ,0.0 ,0.0 ,100.0 ,100.0 ,50.0
BGTD006016, 100.0 ,100.0 ,0.0 ,100.0 ,0.0 ,100.0 ,100.0 ,100.0 ,75.0
SAIC8AU009, 0.0 ,100.0 ,0.0 ,0.0 ,0.0 ,0.0 ,50.0 ,50.0 ,25.0
LCEE82101C, 100.0 ,100.0 ,0.0 ,0.0 ,0.0 ,0.0 ,100.0 ,100.0 ,50.0
VTMM814011, 0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,100.0 ,100.0 ,25.0
NURC01201E, 0.0 ,100.0 ,100.0 ,0.0 ,0.0 ,100.0 ,100.0 ,100.0 ,62.5
PVIC81500V, 100.0 ,100.0 ,100.0 ,100.0 ,0.0 ,33.333333333333336 ,66.66666666666667 ,66.66666666666667 ,70.83333333333333
PEMM83701X, 0.0 ,100.0 ,100.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,25.0
VVEE82307N, 100.0 ,100.0 ,0.0 ,0.0 ,0.0 ,0.0 ,100.0 ,100.0 ,50.0
APEE841047, 0.0 ,0.0 ,0.0 ,0.0 ,100.0 ,0.0 ,100.0 ,100.0 ,37.5
TPEE809063, 0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0
BATE04901E, 100.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,100.0 ,100.0 ,37.5
ENEE82602X, 0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,100.0 ,100.0 ,25.0
LEIS039001, 0.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,87.5
PTTD01000E, 100.0 ,100.0 ,100.0 ,0.0 ,0.0 ,100.0 ,100.0 ,100.0 ,75.0
OREE80604R, 100.0 ,100.0 ,100.0 ,100.0 ,0.0 ,100.0 ,100.0 ,100.0 ,87.5
BATF063511, 0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,100.0 ,100.0 ,25.0
VVEE81503E, 0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,100.0 ,100.0 ,25.0
PZEE86404B, 100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,0.0 ,100.0 ,100.0 ,87.5
FEEE80502Q, 100.0 ,100.0 ,100.0 ,0.0 ,0.0 ,0.0 ,100.0 ,100.0 ,62.5
LOIC805006, 100.0 ,100.0 ,100.0 ,0.0 ,100.0 ,0.0 ,100.0 ,100.0 ,75.0
FRMM85401E, 0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,100.0 ,100.0 ,25.0
AGEE819024, 0.0 ,100.0 ,0.0 ,0.0 ,0.0 ,0.0 ,50.0 ,50.0 ,25.0
PVEE82901V, 0.0 ,100.0 ,0.0 ,0.0 ,0.0 ,0.0 ,100.0 ,100.0 ,37.5
PNEE83302E, 0.0 ,50.0 ,100.0 ,100.0 ,0.0 ,0.0 ,50.0 ,100.0 ,50.0
FRMM830034, 0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,100.0 ,100.0 ,100.0 ,37.5
APEE818024, 100.0 ,100.0 ,0.0 ,100.0 ,0.0 ,0.0 ,100.0 ,100.0 ,62.5
TOTD032019, 100.0 ,100.0 ,100.0 ,0.0 ,100.0 ,0.0 ,100.0 ,100.0 ,75.0
GRPS00301B, 0.0 ,100.0 ,100.0 ,0.0 ,0.0 ,0.0 ,0.0 ,100.0 ,37.5
RCEE81402T, 0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,100.0 ,100.0 ,25.0
ENPS01000R, 0.0 ,100.0 ,0.0 ,0.0 ,100.0 ,100.0 ,100.0 ,100.0 ,62.5
SRTH024016, 0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0
TVMM855011, 0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,100.0 ,100.0 ,25.0
CTEE8AR06N, 0.0 ,100.0 ,0.0 ,0.0 ,0.0 ,0.0 ,100.0 ,100.0 ,37.5
GEIS01300X, 100.0 ,100.0 ,100.0 ,0.0 ,0.0 ,0.0 ,100.0 ,100.0 ,62.5
BARI040056, 100.0 ,100.0 ,50.0 ,50.0 ,0.0 ,100.0 ,100.0 ,100.0 ,75.0
TAEE845025, 0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,100.0 ,100.0 ,25.0
